experiment	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene	avg_log2FC
tdT_Expression	0	0.544445795699892	0.498	0.151	0	1	Abca8a	0.78546924948908
tdT_Expression	0	0.493268654861983	0.5	0.158	0	1	Fbln1	0.711636242195352
tdT_Expression	0	0.493011959579216	0.549	0.147	0	1	Pdgfra	0.711265909183886
tdT_Expression	0	0.467541249504657	0.527	0.161	0	1	C1ra	0.674519442071398
tdT_Expression	0	0.44288448918597	0.406	0.1	0	1	Il33	0.638947256235241
tdT_Expression	0	0.442203721168997	0.542	0.173	0	1	Scn7a	0.637965115593159
tdT_Expression	0	0.416493495635356	0.373	0.077	0	1	Scara5	0.600873100715638
tdT_Expression	1.21557570653576e-307	0.511997204179454	0.666	0.275	1.801483197086e-303	1	Adamts2	0.738655827418712
tdT_Expression	7.51129871383917e-304	0.550314878097214	0.965	0.612	1.11317446939097e-299	1	Col6a1	0.793936545558265
tdT_Expression	1.47611430734925e-299	0.479051778007438	0.67	0.279	2.18760140349158e-295	1	Thbs3	0.691125624460372
tdT_Expression	1.7595917387673e-299	0.480632596426528	0.961	0.597	2.60771495685315e-295	1	Col5a1	0.693406263354138
tdT_Expression	5.94954935414874e-299	0.522531834047272	0.655	0.281	8.81723214284843e-295	1	Bicc1	0.753854085686614
tdT_Expression	4.87007367337629e-296	0.790897766891403	0.879	0.566	7.21744918394366e-292	1	Itm2a	1.14102428614438
tdT_Expression	1.42288460579272e-294	0.558579852408658	0.746	0.358	2.10871498578481e-290	1	Islr	0.805860383010461
tdT_Expression	3.61340182490878e-294	0.61247914996913	0.729	0.345	5.35506150451481e-290	1	Plpp3	0.883620632308352
tdT_Expression	6.06312339896504e-294	0.57293956262967	0.629	0.254	8.98554887726619e-290	1	Mfap2	0.826577065734917
tdT_Expression	3.19811460914238e-292	0.583791868510823	0.923	0.648	4.73960585074901e-288	1	Tuba1a	0.842233633611866
tdT_Expression	6.64359330981054e-291	0.531364388609231	0.914	0.527	9.84580528513921e-287	1	Col6a2	0.766596768351533
tdT_Expression	1.17158072219515e-287	0.510475585751824	0.816	0.433	1.73628263029321e-283	1	Loxl1	0.736460596059046
tdT_Expression	1.8185008918392e-287	0.51088785651134	0.61	0.247	2.6950183217057e-283	1	Rarres2	0.737055377039302
