Endothelial	FAPs	Fibrogenic	M2 Macrophages	Monocytes	Myeloid	Myonuclei	NK Cells	Neutrophils	Pericytes	T Cells	Tenocytes
Hdac7	Fosb	Fstl1	Zc3h12c	D16Ertd472e	Jag1	S100a11	Klrk1	4930523C07Rik	Thy1	Tnfrsf18	Dlc1
Epas1	Ebf3	Rora	Ms4a7	Abcc1	Abl2	Dpysl3	Dennd4a	Mindy3	Zcchc14	Selplg	Fosb
Fam13c	Col5a1	Rif1	Lrp1	Inpp4b	Slc29a3	Nedd4	Stat1	Xylt1	Mphosph8	Flt3	Pdlim1
Pkp4	Cemip2	Axl	Clec12a	Add3	Lgmn	Sdc2	Epas1	Slc22a15	Ttc28	Ar	Lama2
Tek	Cep85l	Prg4	Ap1b1	Fcgr1	Tnip3	Myo1b	Acpp	Chst15	Id3	Ass1	Cald1
St6galnac3	Ebf1	Nr2f2	Wee1	Fbxo32	Arl5c	Dysf	Stk10	Numb	Slc16a2	H2-Eb1	Rabgap1l
Tmem245	Creb5	Pdlim1	Rab7b	Zfand2a	Thbs1	Palld	Rcsd1	Wdfy4	Rora	Kcnn4	Nr2f2
Lama5	Ptprm	Psd3	Hells	Apbb2	Tlr7	Gclm	Atp11b	Mctp2	Crim1	Il7r	Id3
Tanc1	Tanc1	Dpp4	Tsc22d1	Blvrb	Tiparp	Cd72	Nt5e	Gfod1	Adamts9	Rgs1	Pcsk5
Gpihbp1	Has1	Ptprg	Tlr7	Ms4a6d	Ctsl	Ctss	Plxnc1	Clec4n	Frmd4b	Cd74	Layn
Lmo7	Diaph3	Slc7a2	Pmp22	Cfl2	Errfi1	Maf	Abi3bp	Pbx1	Ushbp1	Plxnd1	Hspg2
Dach1	Rasal2	Nfia	Cd38	Axl	Msr1	Psap	Crim1	Notch2	Fry	Tnfrsf9	Gramd3
Cep85l	Bmp6	Heg1	Clec10a	Clec4a3	Gpr137b	Wfdc17	Ets1	Entpd1	Ar	Nr4a3	Csgalnact1
Sox7	Gem	Slit3	Pecam1	Klrk1	Stap1	Sepsecs	Inpp4b	Tmem154	Fstl1	Gpr55	Hells
Stard13	P4hb	Agap1	Ly86	Col14a1	Cav2	Cd74	Tmem64	Nedd9	Nfia	Pdcd1lg2	Wwtr1
Fbln2	Tnxb	Efnb2	P2ry10b	Ms4a6c	Fam20c	Trim30a	H2-DMb1	C3	Loxl1	Pdgfb	Thy1
Aplnr	Lima1	Pcdh7	Plau	Ltbp1	Cep85l	Sptbn1	Zbtb20	Cyfip2	Adgrf5	Ciita	Tanc1
Bicc1	Cxcl12	Dusp10	Ctsl	Ctss	Mmp12	Nexn	Jcad	Chil1	Tns1	Nr4a2	Utrn
Mcf2l	Spry2	Spry2	Cfh	Itsn1	Ctsb	Lipe	Gnb4	Klf3	Syne2	Sepsecs	Rasal2
Nrp1	Dennd5b	Ltbp1	Ccdc88a	Gngt2	Sema3c	Sparc	Gimap5	Retreg1	Col4a1	Fosb	Itga8
Nfib	Tm4sf1	Bmp6	Rasgef1b	Sdc4	Nrp2	Ifngr1	Pxdc1	Dennd4a	Apbb2	Tpm1	Lima1
Plk2	Lhfpl2	Creb3l2	Hspa5	Malt1	Il10	Slc28a2	Trim30a	Pram1	Lims2	Malt1	Flnc
Arap3	Ltbp1	Ebf3	Il10	Frmd4b	Gpnmb	Jam2	Cmah	Gk	Stard8	Cgnl1	Plxna2
Ccn1	Add3	Cnn3	Ms4a6d	Nrp2	Abcc1	Prxl2c	Top2a	Actn1	Tpm1	Plcxd2	Tnfaip6
Cald1	Cp	Sorcs2	Lamc1	Nedd4	Havcr2	Smc4	Ramp3	Bcl2l11	Nr4a1	Arl5c	Thbs4
Prex2	Nid1	Fermt2	Ednrb	Dmd	Cd83	Rsbn1	Vps13a	Slco3a1	Col5a2	Stk10	Adamtsl3
Iigp1	Psd3	Thbs2	Cd83	Cemip2	Nupr1	Egfr	Ifi209	Itgal	Ptprg	Mmp25	Ppfibp1
Wwc2	Lhfp	Ccdc80	Fbxo32	Lrp1	Ednrb	Zcchc14	Itk	Itpr2	Tm4sf1	Nrp2	Ccn2
Cuedc1	Svep1	Jag1	Ms4a6b	Hspa5	Ccl24	Mxra7	Prc1	Pilra	Prc1	Cd274	Pros1
Car8	Col5a2	Col5a2	Oasl1	Hbegf	Frrs1	Arhgef12	Napsa	Hspa4l	Dennd5b	Adgrl2	Ntn1
Bmp6	Crip1	Fgf2	Psap	Prxl2c	Slc37a2	Fstl1	Rif1	Hsd11b1	Sptbn1	Cd83	Fbn1
Fryl	Jcad	Aspn	Ero1l	Uaca	Rnf128	Spp1	P2ry10	Igsf6	Enah	Itga4	Syne1
Col15a1	Klf9	Cemip2	Rnasel	Cfh	Gclm	Plxnd1	Plcb4	Pstpip2	Itga8	Stat1	Uaca
Epha4	Nupr1	Cped1	Pltp	Wtip	Tmem123	Ugdh	Tmem71	Stx11	Meox2	Jup	Postn
Arhgef12	Mt1	Dennd5b	Tnip3	Tjp1	Vcan	Lcn2	Arhgap31	Piwil2	Tjp1	Plat	Slc12a2
Sptbn1	Cnn3	P4hb	Ddx60	Nupr1	Tcirg1	Adam15	Dusp10	Smox	Adamts5	Pmepa1	Ackr3
Cnn3	Wwtr1	Thy1	Tbc1d4	Diaph3	Irf4	Mndal	Creb3l2	Tnf	Cep162	Ago2	Vps13a
Col8a1	Ets1	Sesn2	Hmox1	Ackr3	Spp1	Plxdc2	Abcg1	Alox5	Plscr4	Sntb1	P4hb
Calcrl	Ugdh	Cep85l	Mndal	Abl2	Ifi205	Clec2d	Csrp1	Il1b	Hdac7	Ly75	Fgf2
Nfia	Vcam1	Jcad	Epsti1	Ahr	Ypel2	Pygl	Il1r1	Ripor2	Rapgef5	Daxx	Col4a1
Snrk	Cmah	Ptprm	Slc37a2	Serpine1	Clec12a	Ccng1	Samd9l	Clec4d	Lama5	Samsn1	Cemip2
Col4a1	Ccn2	Postn	Vps13a	Osbpl8	Cav1	Fas	Ccng1	Olr1	Ypel2	Rabgap1l	Uap1
Plscr4	Ifi205	Has1	Fam20c	Fndc1	Fn1	Itga6	Cuedc1	Plbd1	Diaph3	Atp8b1	Col5a1
Synpo	Zcchc14	Csgalnact1	Txk	Gpnmb	Rsbn1	Il23a	Calcrl	Sh2d3c	Slit3	Pmaip1	Fn1
Adamts9	Cep162	Fbln2	Rnf213	Zcchc14	Plin2	Dusp1	Rabgap1l	Aqp9	Errfi1	Wee1	Hspa5
Il6	Rif1	Add3	Ctsk	Tgfb2	Cxcl2	Ifi209	Il7r	Ankrd22	Pcdh7	Cfl2	Nr4a2
Phf11d	Plpp3	Cd55	Gnb4	Tgfbr3	Lrp12	Ackr3	Utrn	Cnr2	Nfib	Neurl3	Cep162
Cdh13	Adamts1	Slco3a1	Wwc2	Afdn	Slc9a9	Pdia6	Wwp1	Steap4	Dock9	Clec2d	Epn2
Afdn	Adamtsl3	Gramd3	Cd163	Mrc2	Gngt2	Plpp1	Vps37b	Pag1	Col1a2	Serpinb9	Col14a1
Cep162	Uap1	Tm4sf1	Slc7a8	Mphosph8	Gnb4	Eea1	Add3	Mylip	Lama4	Ahr	Gfpt2
Gem	Id3	Flnb	Nxpe5	Crispld2	Serpinb2	Mvb12b	Gimap4	Igf1r	Adgrl2	Ppfibp1	Ifi211
Mphosph8	Serpine1	Gbp5	Gpr137b	Aph1c	Abcg3	Ltc4s	Pdcd1lg2	Entpd3	Adam15	Adgre4	Palld
Myo10	Creb3l2	Rsbn1	Fn1	Fkbp9	Zfand2a	Mmp8	Vcam1	I830077J02Rik	Hbegf	Afdn	Crip1
Itga6	Vcan	Tln2	Abca1	Itga8	Daxx	Mmp2	Cemip2	F10	Palmd	Csrp1	Pdgfra
Crim1	Col14a1	Ccn1	Slpi	Wwc2	Ocrl	Stfa2l1	Glipr2	Acod1	Stmn2	Inpp4b	Klf9
Palmd	Cuedc1	Ets1	Clec4a3	Ctsl	Id2	Clec4e	Smc4	Cd300lf	Col15a1	Rapgef6	Wee1
Lnx1	Fn1	Ttc28	Lhfpl2	Smc4	Stard8	Hbegf	Chd2	Icam1	Sox7	Tmcc3	Bgn
