Endothelial	FAPs	Fibrogenic	M2 Macrophages	Monocytes	Myeloid	Myonuclei	NK Cells	Neutrophils	Pericytes	T Cells	Tenocytes
Ccnd2	Matn2	Prdm1	Entpd7	Arhgef7	Osbpl8	C5ar1	Btbd11	Mxd1	Cnn3	B3gnt5	Gli2
Top2a	Pdlim1	Ccn4	Slc25a4	Btbd11	Igf1	Fpr1	Pag1	Slc7a11	Pkd1	Dgat1	Tgfb2
Eng	Dcbld2	Hdgfl3	Rasgef1b	Ap1b1	Ampd3	St3gal6	Ero1l	Ppt1	Vcl	Slc16a3	Pdzd2
Dab2	Diaph3	Igf1r	Gpat3	Tmem123	Rnf128	Itga6	Fli1	A530064D06Rik	Serping1	Nfkbid	Tead1
Cxcl12	Csgalnact1	Fkbp9	Bcl2l1	Ero1l	Oasl1	Vgll4	Ifi206	Lilr4b	Loxl1	Rras2	Pros1
Dysf	Tnc	Pamr1	Tlr7	S100a6	Plekhg1	Cytip	Satb1	St3gal6	Flt1	Tmem123	Rora
Shank3	Lhfp	Gpat3	Oasl1	Epn2	Plxnc1	Ugdh	Cdc42ep3	Arid5b	Pdzd2	Ptprs	Stk39
Nckap1	Auts2	Ptpn14	Adam8	Apobec1	Cbfa2t3	Olfm1	Itga6	Lpcat2	Mef2c	Nfkbie	Irs1
Pitpnm2	Adamtsl1	Zfp462	Ampd3	Rai14	Blnk	Sorl1	Dennd4a	Nfam1	Nusap1	Id2	Fbln2
Sema6d	Gfpt2	Tead1	Clec4e	Bcl2l11	Irf1	Ybx3	Smc4	Bcl2l1	Cenpw	Eng	Tmem45a
Ptpn14	Col5a1	Enpp1	Clec10a	Fabp5	Galnt6	Palld	Spata13	Cd9	Yes1	Pdcd1lg2	Uap1
Filip1	Rsbn1	Spry2	Gm3336	Rasal2	Stx11	Klra2	Crim1	Lyst	Lix1l	Gpr171	Ebf1
Col4a2	Vgll3	Nusap1	Fabp4	Prkd3	Tes	Lpcat2	Fam102a	F10	Nrp1	Cdon	Nupr1
Rai14	Nrip1	Csgalnact1	Cd38	Stil	Gm6377	Thbs4	Elovl6	Sh2d3c	Adamts9	Scin	Postn
Vcl	Ddr2	Ktn1	Pitpnc1	Osbpl8	Pdpn	S100a9	Smad7	Il1b	Axl	Cbfa2t3	Pck2
Grb10	Ptprm	Vcam1	Ms4a6d	Smad7	Tarm1	Pdgfrb	Pitpnm2	Snap23	Nfia	Gfod1	Tshz2
Ppfibp1	Chsy3	Hk2	Plekhg5	Zeb1	Mdm2	Phf11b	Sorl1	Clec4d	Dab2ip	Klrk1	Gem
Dennd5b	Ncald	Cacna1c	Bcl2a1d	Axl	Arg2	Bgn	Serpinb9	Il18rap	Cald1	Ahr	Atp8b1
Nod1	Gpr176	Tanc1	Tgm2	Entpd7	Stab1	Snap23	Arsb	Samsn1	S100a6	Cxcl16	Osmr
Cttn	Frmd6	Ugdh	Tmem8	Prdm1	Sod2	Ifi44	Tspan13	Ccl4	Tead1	Cd200	Nrip1
Plxna4	Nckap1	Yap1	Pdpn	Antxr2	Fcgr1	Filip1l	Parp14	Bcl2l11	Dnm3	Afdn	Col5a1
F5	Col8a1	Dst	Chka	Ext1	Nfkbia	Lama4	Dab2ip	Tnfaip3	Col6a2	Csrp1	Adamtsl1
Tns1	Cdc42bpa	Pdgfrl	Abca1	Ikzf2	Fli1	Dusp10	Kit	Csf1	Mast4	Gpr137b	Nfia
Cnn3	Gramd3	Trim30a	Mindy1	Cd74	Osgin2	Cyp4f18	Stat4	Upp1	Map1b	Ifi209	Errfi1
Cdc42bpa	Creb3l2	Angptl2	Stx11	Creb3l1	Arid5b	Fstl1	Ptpn22	Plaur	Ptprg	Atf5	Col12a1
Csrp1	Uggt2	Gjc1	Ap1b1	Clec4e	Nuak2	Iigp1	Map3k14	Il1rn	Arhgap29	Samsn1	Adamts12
Ccn2	Timp3	Trim2	Carmil1	Adamts14	Slamf7	Ccl4	Gramd3	Sorl1	Amotl2	Slc31a2	Morc4
Ccn1	Col6a3	Thbs1	F13a1	Klrk1	Il10	Cd74	Nrip1	Hcst	Nfib	Flt3	Chsy3
Tyms	Stk39	Pxdn	Tnip3	Irf7	Slc7a11	Pltp	Ahi1	Notch2	Chl1	Mmp19	Akap12
Uaca	Stil	Col5a1	Sod2	Tpm1	Pdgfrb	Hspg2	Ncald	Fndc3b	Zfp260	Plat	Cacna1c
Dab2ip	Psd3	Ptprk	Syngr1	Mt1	Ctsl	Arf2	Ifi209	Smox	Epas1	Osgin2	Rdh10
Iigp1	Zfp385b	Ccdc80	Serpinb6a	Phf11b	Ikzf3	Pkib	Plaur	Itpr2	Scn7a	Filip1l	Slit3
Fnbp1l	Pxdn	Adamts14	Scarb1	Apbb2	Cd86	Ccl8	Epsti1	Dennd4a	Dock9	Serpinb9	Tnfaip6
Bmp6	Cenpp	Pck2	Ms4a4c	Plac8	Samd9l	Etv3	Pdcd1lg2	Slfn4	Rora	Socs2	Gask1b
Meox2	Antxr1	Col3a1	Ifi211	Rcn1	Cd38	Fbxl5	Rora	Dach1	Apbb2	Satb1	Gpm6b
Msrb3	Ext1	Rbfox2	Fabp5	Rasgef1b	Hspg2	Ltbp2	Kcnn4	Pde1a	Cbfa2t3	Chd7	Efemp2
Asap2	Inhba	Sgms2	Mertk	Pdcd4	Bcl2a1a	Synpo2	Cdon	Pygl	Tgfbr3	Slco5a1	Calu
Adamts9	Plagl1	Gpr183	Abca8a	Notch2	Jag1	Cxcl2	Id2	Usp18	Rnf213	H2-Eb1	Mt1
Nedd4	Pappa	Mefv	Slc8b1	Fndc1	S100a11	Il10	Rgs1	Rab11fip1	Irs1	Ifi44	Slc30a4
Rapgef5	Abhd2	Actn1	Notch2	Cytip	Lama4	Lamb1	Top2a	Dusp16	Serpine1	Myo1b	Bmper
Plpp1	Adamts12	Fbn2	Nrg1	Gfod1	Trim30a	Plek	Socs2	Sirpb1b	Nedd4	P2ry10	Col27a1
Flt1	Spry2	Mid2	Hspg2	Pitpnc1	Gpr137b	H2-DMb1	Itpr2	Clec4n	Stard13	Smox	Nckap1
Pxdc1	Arhgef12	Pdgfc	Tnfrsf11a	Atad2	P2ry10b	Ptpn22	Dock9	Sp140	Bst2	Gadd45b	Il33
Pros1	Col12a1	Ablim1	Tspan9	Clec4n	Entpd1	Nfam1	Bst2	Hdc	Epn2	Dusp16	Has1
Ptprb	Sptbn1	Tpm1	S100a6	Ly86	Bcl2a1d	Ifi206	Gfod1	Ero1l	Smtn	Tpm1	Sgcd
Zfp260	Irs1	Dlc1	Ccl24	Zcchc14	Card19	Tmem123	Tes	St8sia4	Bmpr1a	Ly75	Tnc
