0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
S100a6	Scn7a	Dclre1c	Cox7b	Hpgds	Rasgrf2	Col5a2	Rnf180	Inhba	Prg4	Slc9a9	Rgl1	Epsti1	Col8a1	Epha4	Cd151
Rcan1	Mcub	Nfkbib	Rilpl2	Rabgef1	Cobll1	Mfsd1	Fry	Itga4	Ngf	Aoah	Gpr137b	Ereg	Tjp1	Ebf2	Arhgap29
Sned1	Sdc2	Irak2	Aplp2	Inpp4b	Dach1	Efemp1	Cobl	Itpr1	Hk2	Samd9l	Abca1	Ccl11	Plcl2	Tnfrsf11a	Ptprg
Fxyd5	Ackr3	Slc9a9	Myl1	Ubash3b	Mef2c	Pi15	Acta2	Map4k3	Itgbl1	Gpr137b	Ophn1	Nr4a2	Sema6a	Sorbs2	Sema6d
Gfra1	Hmcn1	Fnip2	Dab2ip	Tbxas1	Mgat4a	Rspo2	Fosb	Sparcl1	Cd82	Hpgds	Zeb2	Steap4	Ypel2	Syne2	Rasgrf2
Tiparp	Htra3	Atp8a1	Slc1a3	Ms4a7	Sncaip	Emb	Serpine1	Arhgap20	Fgf1	Cd36	Atp8a1	Tmem47	Cp	Scn7a	Ablim3
Ngf	Scara5	Cd38	Dkk2	Cacna1d	Fryl	Hs6st2	Galnt18	Slc20a1	Fst	Ppm1h	Impact	Smoc2	B4galt5	Limch1	Cobll1
Ifi205	Ebf1	Fem1c	Cyba	Plcg2	Erg	Hck	Nrp1	Epha3	Vcan	Rbm47	Cd74	Ar	Col5a2	Sparcl1	Klf7
Gm4951	Pdgfra	Pycard	Slc20a1	Dclre1c	Plxna2	Bicc1	Itga8	Epha4	Tnfaip6	St3gal6	Rbm47	Sdc2	Megf10	Inhba	Pdzd2
Ifi203	Ntn1	Slc38a1	Afdn	Tbc1d9	Arhgef7	Postn	Tnc	Ar	Spry2	Rbpj	Emb	Aspn	Sema5a	Mamdc2	Zfp366
Mt2	Col5a2	Tec	Ackr3	Stard8	Ppp1r13b	Tuba1c	Cobll1	Scn7a	Cp	Rabgef1	Plcl2	Pla1a	Atp2b1	Sema5a	Ptprb
Plod2	Il6ra	Zdhhc14	Pde3a	Sgms1	Kank3	Rasgrp2	Atp2b1	S1pr1	Id2	Tbxas1	Trf	Dkk2	Grin2a	Tspan12	Fry
Nr4a2	Fbn2	Il10ra	Lmo7	Dock2	Adgrl2	C5ar1	Casp4	Lrrc8c	Plpp3	Zdhhc14	Pla2g7	Hmcn2	Pepd	Snrk	Dysf
Csmd1	Ddr2	Rgl1	Arhgap29	Atp6v1a	Flt1	Ctss	Fryl	Serping1	Cxcl14	B4galt5	Sgms1	Megf10	Adgrl3	Plcb4	Plcb4
Gfpt2	Rorb	Abcb1b	Prrx1	Cpeb4	Dysf	Filip1l	Pde3a	Fabp5	Xdh	Gm21188	Lgals3	Inhba	Mgll	Nrp1	Cyyr1
Kdm6b	Rcan2	Cacna1d	Hes1	Atp6v1c1	Nxpe4	Gcnt2	Unc93b1	Errfi1	Cndp2	Rgl1	Ctsb	Cav1	Tnc	Cd82	Dennd5b
Has1	Ednra	Dock10	Nupr1	Snx30	Prex2	Eng	Serping1	Mgll	Rdh10	Camk1d	Map2k3	Asap2	Hacd4	Kcnab1	Top2a
Thsd7a	Slc1a3	Blnk	Mtss1	Gas2l3	Adgrl4	Trdn	Rab11fip1	Dpp4	Hes1	Ctsb	Plek	Tcea3	Snrk	Bicc1	Ptprm
Itpkc	Ugp2	Apoe	Tnnc2	Clec12a	Calcrl	Erg	Tuba1c	Cobl	Atf3	Ccl4	Edil3	Frmd6	Tes	Gjc1	Mrtfb
Zfp36l1	Asap2	Mxd1	Itga4	Slc15a3	Lama4	Shank3	Zfp664	Igfbp5	Dcn	Ednrb	Mctp1	Pi15	Arhgap17	Sox6	Ypel2
Ccl8	Angpt1	Basp1	Pdgfrl	Bcl2a1d	Abcb1a	Nox4	Nexn	Myl1	Gas7	Clec4a3	Plau	Il10	Gas2	Bmp6	Diaph3
B2m	Pecam1	Pla2g7	Sdc2	Tnfrsf1b	Pkp4	Cd74	Adgrl3	Tjp1	Ifi205	Parvb	Stap1	Chd7	Dock6	Nr2f2	Rapgef5
Emb	Fabp5	Atp6v0a1	Zfp36l1	Fyb	Rapgef5	Igfbp5	Tle4	Irf1	Col8a1	Cxcl2	Ms4a7	Ntn1	Asb5	Jarid2	Aplp2
Ddr2	Sned1	Adap2	Hs6st2	Arhgap17	Gda	Tjp1	Tec	Dennd5b	Mast4	Plaur	Ggta1	Adgrg2	Atp6v0a1	Lims2	Tspan13
Mmp2	Ltbp1	Mtss1	Col6a3	Pitpnc1	Ptpre	Wdfy3	Ugcg	Aplp2	Il1rl1	Ms4a6c	Tlr7	Igfbp5	Nav2	Mef2c	Prkch
Cadm3	Cthrc1	Ppm1h	Epsti1	Adgrg6	Eng	Bmper	Plcb4	Pid1	Epsti1	Pparg	Comp	Dpp4	Fosb	Rab11fip1	Filip1
Rab8b	Frmd6	Il1r1	Meox2	Nlrp3	Arhgap18	Crispld2	Sox6	Pdzd2	Aspn	Clec12a	Adgrg6	Dcn	Abcb1b	Gcnt2	Shroom4
Abi3bp	Myl1	Clec12a	Csrp2	Mdm2	Pcdh17	Arhgap29	Itpr1	Fbn2	Col12a1	Elmo1	Pip4k2a	Sparcl1	Nrp1	Rcan2	Plcb1
Kitl	Nexn	Plin2	Atf3	Tec	Pde4b	Fbn1	Gjc1	Il6	Tnc	Rnf149	Lcp2	Maf	Arhgap22	Eln	Parvb
